Name,Boos,Likes,Plays,Likes/Plays,Boos/Plays,Boos/Likes
♪TMW♪ 1-1 but it's #TeamMusic!,77,411,1415,0.29,0.05,0.19
♪TMW♪Kai Highway: Mystical Ninja,44,253,811,0.31,0.05,0.17
♪TMW♪ Blaster Master,29,109,390,0.28,0.07,0.27
♪TMW♪ Wandering Ghosts,28,105,364,0.29,0.08,0.27
♪TMW♪ In the End,25,223,727,0.31,0.03,0.11
♪TMW♪ Wood Man,24,115,413,0.28,0.06,0.21
♪TMW♪ Wham! Everything She Wants,20,89,323,0.28,0.06,0.22
♪TMW♪ Dark Circus,20,58,192,0.30,0.10,0.34
♪TMW♪ Los Peces en el Rio,20,75,275,0.27,0.07,0.27
♪TMW♪ Metal Cap Maze,19,228,804,0.28,0.02,0.08
♪TMW♪ Koopahari Desert,18,60,224,0.27,0.08,0.30
♪TMW♪ Contra: Jungle,17,141,513,0.27,0.03,0.12
♪TMW♪ Asayake,17,61,223,0.27,0.08,0.28
♪TMW♪ Factory Inspection,17,79,327,0.24,0.05,0.22
♪TMW♪ Come Along With Me,12,45,156,0.29,0.08,0.27
♪TMW♪ Nitro Rider,12,63,210,0.30,0.06,0.19
♪TMW♪ Duckburg: Quackshot,10,66,250,0.26,0.04,0.15
♪TMW♪ The Ruins of Sarasaland,8,53,227,0.23,0.04,0.15
♪TMW♪ Dusty Dune Dilemma,6,44,163,0.27,0.04,0.14
♪TMW♪ Polyester Girl,4,32,49,0.65,0.08,0.13
♪TMW♪ Rapper's Delight,4,42,98,0.43,0.04,0.10
♪TMW♪ Scooby Doo,4,32,78,0.41,0.05,0.13
♪TMW♪ Psycho Killer,3,30,49,0.61,0.06,0.10
♪TMW♪ Creative Exercise,3,26,39,0.67,0.08,0.12
♪TMW♪ Pipe Land,3,29,48,0.60,0.06,0.10
♪TMW♪ Vanilla Thunderdome,2,29,38,0.76,0.05,0.07
♪TMW♪ The Beautiful People,2,27,34,0.79,0.06,0.07
♪TMW♪ Love Dramatic 「かぐや様OP1」,2,24,31,0.77,0.06,0.08
♪TMW♪ Price is Right: Splendido!,2,25,31,0.81,0.06,0.08
♪TMW♪ Got Your Money,1,27,38,0.71,0.03,0.04
♪TMW♪ Chainsaw Blood by Vaundy,1,26,34,0.76,0.03,0.04
♪TMW♪ Pain the Universe,1,26,32,0.81,0.03,0.04
♪TMW♪ Chrono Trigger - Boss 2,1,30,56,0.54,0.02,0.03
♪TMW♪ My Time in Cerulean City,0,38,53,0.72,0.00,0.00
♪TMW♪ Title Screen Music Level,0,28,50,0.56,0.00,0.00
♪TMW♪ Piranha Lullaby - Mario 64,0,28,45,0.62,0.00,0.00
♪TMW♪ BRODYQUEST,0,29,34,0.85,0.00,0.00
♪TMW♪ Hyperspace Hop,0,29,42,0.69,0.00,0.00
♪TMW♪ Roll Credits,0,29,42,0.69,0.00,0.00
